nazwa leku,identyfikator_leku,zakres_wskazan,zakres_wskazan_pozarejestracyjnych,poziom_odplatnosci,wysokosc_doplaty_swiadczeniobiorcy,id_leku
Acitren,05909990907755,We wszystkich zarejestrowanych wskazaniach na dzień wydania decyzji,,ryczałt,3.2,47
Acitren,05909990907762,We wszystkich zarejestrowanych wskazaniach na dzień wydania decyzji,,ryczałt,3.2,48
Acitren,05909990907786,We wszystkich zarejestrowanych wskazaniach na dzień wydania decyzji,,ryczałt,7.62,49
Aclotin,05909990334971,We wszystkich zarejestrowanych wskazaniach na dzień wydania decyzji,,30%,10.42,50
Aclotin,05909990334971,Przysługuje świadczeniobiorcom; o których mowa w art. 43a ust. 1 ustawy z dnia 27 sierpnia 2004 r. o świadczeniach opieki zdrowotnej finansowanych ze środków publicznych (Dz.U. z 2021 r. poz. 1285; z późn. zm.),,,,50
Aclotin,05909990667116,We wszystkich zarejestrowanych wskazaniach na dzień wydania decyzji,,30%,4.74,51
Aclotin,05909990667116,Przysługuje świadczeniobiorcom; o których mowa w art. 43a ust. 1 ustawy z dnia 27 sierpnia 2004 r. o świadczeniach opieki zdrowotnej finansowanych ze środków publicznych (Dz.U. z 2021 r. poz. 1285; z późn. zm.),,,,51
Actelsar,05909990891832,We wszystkich zarejestrowanych wskazaniach na dzień wydania decyzji,nadciśnienie tętnicze inne niż określone w ChPL - u dzieci do 18 roku życia; przewlekła choroba nerek u dzieci do 18 roku życia; leczenie renoprotekcyjne u dzieci do 18 roku życia,30%,6.75,52
Actelsar,05909990891832,Przysługuje świadczeniobiorcom; o których mowa w art. 43a ust. 1 ustawy z dnia 27 sierpnia 2004 r. o świadczeniach opieki zdrowotnej finansowanych ze środków publicznych (Dz.U. z 2021 r. poz. 1285; z późn. zm.),,,,52
Actelsar,05909990891863,We wszystkich zarejestrowanych wskazaniach na dzień wydania decyzji,nadciśnienie tętnicze inne niż określone w ChPL - u dzieci do 18 roku życia; przewlekła choroba nerek u dzieci do 18 roku życia; leczenie renoprotekcyjne u dzieci do 18 roku życia,30%,13.07,53
Actelsar,05909990891863,Przysługuje świadczeniobiorcom; o których mowa w art. 43a ust. 1 ustawy z dnia 27 sierpnia 2004 r. o świadczeniach opieki zdrowotnej finansowanych ze środków publicznych (Dz.U. z 2021 r. poz. 1285; z późn. zm.),,,,53
Actelsar HCT,05909991056247,We wszystkich zarejestrowanych wskazaniach na dzień wydania decyzji,,30%,17.04,54
Actelsar HCT,05909991056247,Przysługuje świadczeniobiorcom; o których mowa w art. 43a ust. 1 ustawy z dnia 27 sierpnia 2004 r. o świadczeniach opieki zdrowotnej finansowanych ze środków publicznych (Dz.U. z 2021 r. poz. 1285; z późn. zm.),,,,54
Actelsar HCT,05909991056773,We wszystkich zarejestrowanych wskazaniach na dzień wydania decyzji,,30%,17.04,55
Actelsar HCT,05909991056773,Przysługuje świadczeniobiorcom; o których mowa w art. 43a ust. 1 ustawy z dnia 27 sierpnia 2004 r. o świadczeniach opieki zdrowotnej finansowanych ze środków publicznych (Dz.U. z 2021 r. poz. 1285; z późn. zm.),,,,55
Acticoat Flex 3 10cm x 10cm,0040565124810,Przewlekłe owrzodzenia,,30%,10.72,56
Acticoat Flex 3 10cm x 10cm,0040565124810,Epidermolysis bullosa,,bezpłatny do limitu,7.05,56
Acticoat Flex 3 10cm x 20cm,0040565124858,Przewlekłe owrzodzenia,,30%,15.52,57
Acticoat Flex 3 10cm x 20cm,0040565124858,Epidermolysis bullosa,,bezpłatny do limitu,8.18,57
Acticoat Flex 3 20cm x 40cm,0040565124872,Przewlekłe owrzodzenia,,30%,29.34,58
Acticoat Flex 3 20cm x 40cm,0040565124872,Epidermolysis bullosa,,bezpłatny do limitu,0,58
Actisorb Plus 25 10.5x10.5 cm,15051978002970,Przewlekłe owrzodzenia,,30%,6.74,59
Actisorb Plus 25 10.5x19 cm,15051978002994,Przewlekłe owrzodzenia,,30%,10.81,60
Activelle,05909990451210,We wszystkich zarejestrowanych wskazaniach na dzień wydania decyzji,,30%,15.36,61
Actrapid Penfill,05909990237920,Cukrzyca,,ryczałt,4,62
Actrapid Penfill,05909990237920,Przysługuje świadczeniobiorcom; o których mowa w art. 43a ust. 1 ustawy z dnia 27 sierpnia 2004 r. o świadczeniach opieki zdrowotnej finansowanych ze środków publicznych (Dz.U. z 2021 r. poz. 1285; z późn. zm.),,,,62
Actrapid Penfill,05909990237920,Przysługujące świadczeniobiorcom; o których mowa w art. 43b ust. 1 ustawy z dnia 27 sierpnia 2004 r. o świadczeniach opieki zdrowotnej finansowanych ze środków publicznych (Dz.U. z 2021 r. poz. 1285; z późn. zm.),,,,62
Acurenal,05909990953882,We wszystkich zarejestrowanych wskazaniach na dzień wydania decyzji,nadciśnienie tętnicze inne niż określone w ChPL - u dzieci od 6 do 18 roku życia; przewlekła choroba nerek u dzieci od 6 do 18 roku życia; leczenie renoprotekcyjne u dzieci od 6 do 18 roku życia,ryczałt,24.66,63
Acurenal,05909990953882,Przysługuje świadczeniobiorcom; o których mowa w art. 43a ust. 1 ustawy z dnia 27 sierpnia 2004 r. o świadczeniach opieki zdrowotnej finansowanych ze środków publicznych (Dz.U. z 2021 r. poz. 1285; z późn. zm.),,,,63
Acurenal,05909991125417,We wszystkich zarejestrowanych wskazaniach na dzień wydania decyzji,nadciśnienie tętnicze inne niż określone w ChPL - u dzieci od 6 do 18 roku życia; przewlekła choroba nerek u dzieci od 6 do 18 roku życia; leczenie renoprotekcyjne u dzieci od 6 do 18 roku życia,ryczałt,8.88,64
Acurenal,05909991125417,Przysługuje świadczeniobiorcom; o których mowa w art. 43a ust. 1 ustawy z dnia 27 sierpnia 2004 r. o świadczeniach opieki zdrowotnej finansowanych ze środków publicznych (Dz.U. z 2021 r. poz. 1285; z późn. zm.),,,,64
Acurenal,05909991125516,We wszystkich zarejestrowanych wskazaniach na dzień wydania decyzji,nadciśnienie tętnicze inne niż określone w ChPL - u dzieci od 6 do 18 roku życia; przewlekła choroba nerek u dzieci od 6 do 18 roku życia; leczenie renoprotekcyjne u dzieci od 6 do 18 roku życia,ryczałt,12.11,65
Acurenal,05909991125516,Przysługuje świadczeniobiorcom; o których mowa w art. 43a ust. 1 ustawy z dnia 27 sierpnia 2004 r. o świadczeniach opieki zdrowotnej finansowanych ze środków publicznych (Dz.U. z 2021 r. poz. 1285; z późn. zm.),,,,65
Acurenal,05909991125615,We wszystkich zarejestrowanych wskazaniach na dzień wydania decyzji,nadciśnienie tętnicze inne niż określone w ChPL - u dzieci od 6 do 18 roku życia; przewlekła choroba nerek u dzieci od 6 do 18 roku życia; leczenie renoprotekcyjne u dzieci od 6 do 18 roku życia,ryczałt,15.25,66
Acurenal,05909991125615,Przysługuje świadczeniobiorcom; o których mowa w art. 43a ust. 1 ustawy z dnia 27 sierpnia 2004 r. o świadczeniach opieki zdrowotnej finansowanych ze środków publicznych (Dz.U. z 2021 r. poz. 1285; z późn. zm.),,,,66
Adablok,05906414003741,Zespół pęcherza nadreaktywnego,,30%,9.23,67
Adablok,05906414003741,Przysługuje świadczeniobiorcom; o których mowa w art. 43a ust. 1 ustawy z dnia 27 sierpnia 2004 r. o świadczeniach opieki zdrowotnej finansowanych ze środków publicznych (Dz.U. z 2021 r. poz. 1285; z późn. zm.),,,,67
Adablok,05906414003758,Zespół pęcherza nadreaktywnego,,30%,16.58,68
Adablok,05906414003758,Przysługuje świadczeniobiorcom; o których mowa w art. 43a ust. 1 ustawy z dnia 27 sierpnia 2004 r. o świadczeniach opieki zdrowotnej finansowanych ze środków publicznych (Dz.U. z 2021 r. poz. 1285; z późn. zm.),,,,68
Adadox,05909990901890,Przerost gruczołu krokowego,,ryczałt,3.2,69
Adadox,05909990901890,We wszystkich zarejestrowanych wskazaniach na dzień wydania decyzji,przewlekła choroba nerek u dzieci do 18 roku życia; neurogenna dysfunkcja pęcherza u dzieci do 18 roku życia; nieneurogenna dysfunkcja pęcherza u dzieci do 18 roku życia,30%,2.57,69
Adadox,05909990901890,Przysługuje świadczeniobiorcom; o których mowa w art. 43a ust. 1 ustawy z dnia 27 sierpnia 2004 r. o świadczeniach opieki zdrowotnej finansowanych ze środków publicznych (Dz.U. z 2021 r. poz. 1285; z późn. zm.),,,,69
Adadox,05909990902255,Przerost gruczołu krokowego,,ryczałt,3.2,70
Adadox,05909990902255,We wszystkich zarejestrowanych wskazaniach na dzień wydania decyzji,przewlekła choroba nerek u dzieci do 18 roku życia,30%,4.87,70
Adadox,05909990902255,Przysługuje świadczeniobiorcom; o których mowa w art. 43a ust. 1 ustawy z dnia 27 sierpnia 2004 r. o świadczeniach opieki zdrowotnej finansowanych ze środków publicznych (Dz.U. z 2021 r. poz. 1285; z późn. zm.),,,,70
Adadox,05909990902293,Przerost gruczołu krokowego,,ryczałt,9.6,71
Adadox,05909990902293,We wszystkich zarejestrowanych wskazaniach na dzień wydania decyzji,przewlekła choroba nerek u dzieci do 18 roku życia,30%,13.34,71
Adadox,05909990902293,Przysługuje świadczeniobiorcom; o których mowa w art. 43a ust. 1 ustawy z dnia 27 sierpnia 2004 r. o świadczeniach opieki zdrowotnej finansowanych ze środków publicznych (Dz.U. z 2021 r. poz. 1285; z późn. zm.),,,,71
Adadut,05909991328696,Leczenie umiarkowanych do ciężkich objawów łagodnego rozrostu gruczołu krokowego,,30%,12.65,72
Adaptic 12.7x22.9 cm,15051978000174,Przewlekłe owrzodzenia,,30%,10.71,73
Adaptic 12.7x22.9 cm,15051978000174,Epidermolysis bullosa,,bezpłatny do limitu,0,73
Adaptic 7.6x40.6 cm,15051978000167,Przewlekłe owrzodzenia,,30%,11.32,74
Adaptic 7.6x40.6 cm,15051978000167,Epidermolysis bullosa,,bezpłatny do limitu,0,74
Adaster,05909990711949,Przerost gruczołu krokowego,,ryczałt,8.86,75
Adaster,05909990711949,Przysługuje świadczeniobiorcom; o których mowa w art. 43a ust. 1 ustawy z dnia 27 sierpnia 2004 r. o świadczeniach opieki zdrowotnej finansowanych ze środków publicznych (Dz.U. z 2021 r. poz. 1285; z późn. zm.),,,,75
Adaster,05909990711987,Przerost gruczołu krokowego,,ryczałt,21.39,76
Adaster,05909990711987,Przysługuje świadczeniobiorcom; o których mowa w art. 43a ust. 1 ustawy z dnia 27 sierpnia 2004 r. o świadczeniach opieki zdrowotnej finansowanych ze środków publicznych (Dz.U. z 2021 r. poz. 1285; z późn. zm.),,,,76
Adatam,05906414001501,Przerost gruczołu krokowego,,ryczałt,19.59,77
Adatam,05906414001501,Przysługuje świadczeniobiorcom; o których mowa w art. 43a ust. 1 ustawy z dnia 27 sierpnia 2004 r. o świadczeniach opieki zdrowotnej finansowanych ze środków publicznych (Dz.U. z 2021 r. poz. 1285; z późn. zm.),,,,77
Adatam,05909990622726,Przerost gruczołu krokowego,,ryczałt,7.94,78
Adatam,05909990622726,Przysługuje świadczeniobiorcom; o których mowa w art. 43a ust. 1 ustawy z dnia 27 sierpnia 2004 r. o świadczeniach opieki zdrowotnej finansowanych ze środków publicznych (Dz.U. z 2021 r. poz. 1285; z późn. zm.),,,,78
Adatam XR,05900411005883,Przerost gruczołu krokowego,,ryczałt,7.94,79
Adatam XR,05900411005883,Przysługuje świadczeniobiorcom; o których mowa w art. 43a ust. 1 ustawy z dnia 27 sierpnia 2004 r. o świadczeniach opieki zdrowotnej finansowanych ze środków publicznych (Dz.U. z 2021 r. poz. 1285; z późn. zm.),,,,79
Adatam XR,05900411005906,Przerost gruczołu krokowego,,ryczałt,19.59,80
Adatam XR,05900411005906,Przysługuje świadczeniobiorcom; o których mowa w art. 43a ust. 1 ustawy z dnia 27 sierpnia 2004 r. o świadczeniach opieki zdrowotnej finansowanych ze środków publicznych (Dz.U. z 2021 r. poz. 1285; z późn. zm.),,,,80
Adatam XR,05900411005920,Przerost gruczołu krokowego,,ryczałt,24.62,81
Adatam XR,05900411005920,Przysługuje świadczeniobiorcom; o których mowa w art. 43a ust. 1 ustawy z dnia 27 sierpnia 2004 r. o świadczeniach opieki zdrowotnej finansowanych ze środków publicznych (Dz.U. z 2021 r. poz. 1285; z późn. zm.),,,,81
Adcetris,05909991004545,Znajduje się w załącznikach: B.66; B.77.,,bezpłatny,0,82
Adeksa,05909990893386,Cukrzyca,,30%,6.08,83
Adeksa,05909990893423,Cukrzyca,,30%,5.47,84
Adempas,05908229300305,Znajduje się w załącznikach: B.74.; B.31.,,bezpłatny,0,85
Adempas,05908229300336,Znajduje się w załącznikach: B.74.; B.31.,,bezpłatny,0,86
Adempas,05908229300367,Znajduje się w załącznikach: B.74.; B.31.,,bezpłatny,0,87
Adempas,05908229300398,Znajduje się w załącznikach: B.74.; B.31.,,bezpłatny,0,88
